name,host_star,discovery_year,method,distance_pc,period_days,radius_earth,mass_earth,eq_temp_k
CoRoT-32 b,CoRoT-32,2018,Transit,576.68,6.7184,6.39,47.67,938
K2-204 b,K2-204,2018,Transit,577.24,7.0559,3.17,,1148
HATS-53 b,HATS-53,2017,Transit,585.77,3.8538,15.02,189.11,1312
Kepler-865 c,Kepler-865,2023,Transit,586.14,6.2092,0.89,,914
Kepler-6 b,Kepler-6,2009,Transit,587.04,3.2347,14.62,212.31,1460
TOI-2719 b,TOI-2719,2025,Transit,588.37,3.3759,5.98,,1710
BD-14 3065 b,BD-14 3065 A,2024,Transit,589.42,4.289,21.59,3932.0,2001
CoRoT-24 b,CoRoT-24,2014,Transit,591.55,5.1134,3.7,5.7,1070
CoRoT-24 c,CoRoT-24,2014,Transit,591.55,11.759,5.0,28.0,850
Kepler-1977 b,Kepler-1977,2023,Transit,592.71,4.537,1.66,,798
NGTS-21 b,NGTS-21,2022,Transit,592.89,1.5434,14.91,750.08,1357
Kepler-1995 b,Kepler-1995,2023,Transit,595.33,73.7579,4.28,,375
Kepler-1987 d,Kepler-1987,2023,Transit,595.68,5.6449,2.66,,744
Kepler-1987 c,Kepler-1987,2023,Transit,595.68,3.6483,1.33,,860
Kepler-1987 e,Kepler-1987,2023,Transit,595.68,8.7429,1.92,,643
Kepler-1987 b,Kepler-1987,2023,Transit,595.68,2.3459,1.23,,997
TOI-5592 b,TOI-5592,2025,Transit,597.03,2.6086,17.15,285.73,1789
TOI-3464 b,TOI-3464,2025,Transit,597.77,3.6516,13.76,397.29,1693
TOI-2714 b,TOI-2714,2024,Transit,597.87,2.4994,13.72,228.0,1603
Kepler-880 c,Kepler-880,2023,Transit,601.32,11.8062,2.87,,1407
WASP-165 b,WASP-165,2018,Transit,602.24,3.4655,14.12,209.13,1624
HATS-68 b,HATS-68,2018,Transit,603.96,3.5862,13.81,410.0,1741
TOI-3919 b,TOI-3919,2024,Transit,604.59,7.4332,12.32,1233.17,1198
NGTS-9 b,NGTS-9,2019,Transit,609.13,4.4353,11.99,921.71,1448
TOI-5232 b,TOI-5232,2024,Transit,609.39,4.0967,12.78,743.72,1772
HATS-55 b,HATS-55,2019,Transit,609.84,4.2042,14.02,292.72,1367
WASP-153 b,WASP-153,2017,Transit,610.18,3.3326,17.37,123.95,1700
HATS-63 b,HATS-63,2018,Transit,623.23,3.0567,13.53,305.12,1398
HATS-18 b,HATS-18,2016,Transit,624.37,0.8378,14.9,629.14,2069
WASP-169 b,WASP-169,2019,Transit,627.07,5.6114,14.62,178.3,1604
CoRoT-22 b,CoRoT-22,2014,Transit,627.16,9.756,4.88,12.2,885
Kepler-9 d,Kepler-9,2010,Transit,628.26,1.5929,1.64,,2026
TOI-5301 b,TOI-5301,2024,Transit,629.16,5.8589,13.09,1182.32,1648
TOI-6420 b,TOI-6420,2025,Transit,634.71,6.9615,11.94,2606.19,1213
Kepler-549 d,Kepler-549,2023,Transit,635.15,24.6148,4.2,,586
K2-113 b,K2-113,2017,Transit,635.72,5.8177,12.14,,1098
Kepler-1126 c,Kepler-1126,2023,Transit,635.74,199.6688,1.45,,305
HATS-9 b,HATS-9,2015,Transit,638.7,1.9153,13.85,,1746
HATS-23 b,HATS-23,2017,Transit,639.0,2.1605,20.85,467.21,1654
Kepler-77 b,Kepler-77,2013,Transit,639.41,3.5788,10.76,136.66,1440
HATS-59 b,HATS-59,2018,Transit,642.88,5.4161,12.62,256.17,1128
CoRoT-6 b,CoRoT-6,2009,Transit,645.29,8.8866,13.07,940.74,1017
TOI-3523 A b,TOI-3523 A,2025,Transit,645.29,2.3046,15.97,435.42,1984
Kepler-425 b,Kepler-425,2014,Transit,646.65,3.797,10.96,79.45,1070
NGTS-13 b,NGTS-13,2021,Transit,647.6,4.119,12.8,1538.3,1605
HAT-P-64 b,HAT-P-64,2021,Transit,651.9,4.0072,19.09,184.34,1766
GPX-1 b,GPX-1,2021,Transit,655.01,1.7446,16.48,6261.22,2300
CoRoT-11 b,CoRoT-11,2010,Transit,655.04,2.9943,16.03,740.51,1657
Kepler-111 c,Kepler-111,2014,Transit,657.22,224.7783,7.08,222.48,352
Kepler-1981 b,Kepler-1981,2023,Transit,659.4,453.5421,9.23,,390
